"/roll_ref/data_x","/roll_ref/data_y","/roll_mv/data_x","/roll_mv/data_y"
 , ,102.0707381,-0.2404122038,
 , ,102.091465,-0.252158307,
 , ,102.1117032,-0.2612931207,
 , ,102.1354589,-0.2648867823,
 , ,102.152679,-0.2700970365,
 , ,102.1730251,-0.2727328537,
 , ,102.1937051,-0.273065233,
 , ,102.214267,-0.2718556268,
 , ,102.2345281,-0.2682261787,
 , ,102.2572031,-0.2655463149,
 , ,102.2756841,-0.258483415,
 , ,102.2977171,-0.2492256103,
 , ,102.3167191,-0.2438007538,
 , ,102.337605,-0.2315121892,
 , ,102.3580401,-0.2181520309,
 , ,102.379847,-0.2031187825,
 , ,102.398886,-0.1867234731,
 , ,102.420577,-0.1777576334,
 , ,102.4396729,-0.159320538,
 , ,102.463062,-0.1499726092,
 , ,102.480994,-0.1312262159,
 , ,102.5019751,-0.1128142064,
 , ,102.5226321,-0.1036497214,
 , ,102.5456891,-0.08630982457,
 , ,102.5630081,-0.0702166664,
 , ,102.5846131,-0.06296104694,
 , ,102.6037891,-0.05009513831,
 , ,102.6241031,-0.0395783684,
 , ,102.6447191,-0.03526405776,
 , ,102.6653161,-0.02863574938,
 , ,102.685612,-0.02480033883,
 , ,102.7058229,-0.02374035555,
 , ,102.728915,-0.02427175381,
 , ,102.7472231,-0.02740364385,
 , ,102.76877,-0.03329358821,
 , ,102.7882249,-0.03724393688,
 , ,102.809257,-0.04713867477,
 , ,102.82921,-0.05918843769,
 , ,102.8498101,-0.07290469811,
 , ,102.870064,-0.0886915672,
 , ,102.890373,-0.1068351428,
 , ,102.9108009,-0.1167322124,
 , ,102.9322431,-0.1379838056,
 , ,102.9517021,-0.1609568569,
 , ,102.972173,-0.1729795193,
 , ,102.9927771,-0.1978477108,
 , ,103.013442,-0.2234868998,
 , ,103.0336959,-0.2495243095,
 , ,103.054296,-0.2625150749,
 , ,103.0747859,-0.2881406708,
 , ,103.0979261,-0.3131369636,
 , ,103.1161129,-0.3253356921,
 , ,103.1367249,-0.3484401557,
 , ,103.157027,-0.3683019525,
